age,km,hp_kw,gears,weight_kg,displacement_cc,previous_owners,inspection_new,body_type_Compact,body_type_Coupe,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,upholstery_type_Cloth,upholstery_type_Part/Full Leather,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi-automatic,fuel_Benzine,fuel_Diesel,fuel_Electric,fuel_LPG/CNG,make_Audi,make_Opel,make_Renault,model_A1,model_A3,model_Astra,model_Clio,model_Corsa,model_Espace,model_Insignia
1.0,15500.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,25977.0,92.0,7.0,1180.0,1395.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,9000.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,65000.0,66.0,7.0,1250.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14493.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,33500.0,92.0,7.0,1215.0,1395.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,4800.0,70.0,7.0,1165.0,999.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,51000.0,70.0,7.0,1040.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,7307.0,70.0,7.0,1165.0,999.0,1.0,1,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,4800.0,70.0,7.0,1165.0,999.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,5500.0,70.0,7.0,1165.0,999.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,35500.0,66.0,7.0,1220.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,18000.0,92.0,7.0,1135.0,1395.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,40000.0,92.0,7.0,1660.0,1395.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14551.0,85.0,7.0,1135.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,16500.0,85.0,6.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,26700.0,85.0,7.0,1180.0,1598.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,8000.0,70.0,7.0,1165.0,999.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,15000.0,85.0,6.0,1225.0,1598.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,14436.0,92.0,7.0,1180.0,1395.0,2.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
